,,,,,,,,Points,Points,Points,,Top Players,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2020,NFL,San Francisco 49ers,5,6,0,4th of 4,,261,254,7,Shanahan,,Mullens,Mostert,Kittle,20,14,11,6,24,15,8,32,0.6,0.9,1.6,0.2,1.4
2019,NFL,San Francisco 49ers*,13,3,0,1st of 4,Lost SB,479,310,169,Shanahan,Garoppolo,Garoppolo,Mostert,Kittle,2,4,8,2,10,3,3,32,10.6,0.4,11.0,6.7,4.3
2018,NFL,San Francisco 49ers,4,12,0,3rd of 4,,342,435,-93,Shanahan,Kittle,Mullens,Breida,Kittle,21,16,28,13,32,27,16,32,-5.8,0.3,-5.5,-2.5,-3.1
2017,NFL,San Francisco 49ers,6,10,0,4th of 4,,331,383,-52,Shanahan,Staley,Garoppolo,Hyde,Goodwin,20,12,25,24,20,19,16,32,-3.3,0.4,-2.9,-0.8,-2.1
2016,NFL,San Francisco 49ers,2,14,0,4th of 4,,309,480,-171,Kelly,Kaepernick,Kaepernick,Hyde,Kerley,27,31,32,32,24,31,32,32,-10.7,-0.5,-11.2,-3.7,-7.5
2015,NFL,San Francisco 49ers,5,11,0,4th of 4,,238,387,-149,Tomsula,Bowman,Gabbert,Hyde,Boldin,32,31,18,29,22,31,32,32,-9.3,3.8,-5.5,-6.0,0.5
2014,NFL,San Francisco 49ers,8,8,0,3rd of 4,,306,340,-34,Harbaugh,Kaepernick,Kaepernick,Gore,Boldin,25,20,10,5,6,22,15,32,-2.1,1.2,-1.0,-3.0,2.1
2013,NFL,San Francisco 49ers*,12,4,0,2nd of 4,Lost Conf,406,272,134,Harbaugh,Bowman,Kaepernick,Gore,Boldin,11,24,3,5,4,3,14,32,8.4,1.8,10.1,3.5,6.6
2012,NFL,San Francisco 49ers*,11,4,1,1st of 4,Lost SB,397,273,124,Harbaugh,Willis,Kaepernick,Gore,Crabtree,11,11,2,3,8,4,3,32,7.8,2.5,10.2,3.5,6.7
2011,NFL,San Francisco 49ers*,13,3,0,1st of 4,Lost Conf,380,229,151,Harbaugh,Bowman,Smith,Gore,Crabtree,11,26,2,4,1,4,14,32,9.4,-1.1,8.3,1.7,6.6
2010,NFL,San Francisco 49ers,6,10,0,3rd of 4,,305,346,-41,SingletaryTomsula,Willis,Smith,Gore,Davis,24,24,16,13,15,20,21,32,-2.6,-3.3,-5.8,-4.7,-1.1
2009,NFL,San Francisco 49ers,8,8,0,2nd of 4,,330,281,49,Singletary,Willis,Smith,Gore,Davis,18,27,4,15,5,13,24,32,3.1,-3.0,0.1,-2.9,3.0
2008,NFL,San Francisco 49ers,7,9,0,2nd of 4,,339,381,-42,SingletaryNolan,Willis,Hill,Gore,Bruce,22,23,23,13,31,23,23,32,-2.6,-2.7,-5.3,-2.9,-2.4
2007,NFL,San Francisco 49ers,5,11,0,3rd of 4,,219,364,-145,Nolan,Willis,Dilfer,Gore,Battle,32,32,20,25,30,29,32,32,-9.1,-2.9,-11.9,-9.9,-2.0
2006,NFL,San Francisco 49ers,7,9,0,3rd of 4,,298,412,-114,Nolan,Gore,Smith,Gore,Bryant,24,26,32,26,23,29,27,32,-7.1,-1.6,-8.7,-3.5,-5.2
2005,NFL,San Francisco 49ers,4,12,0,4th of 4,,239,428,-189,Nolan,Smith,Smith,Gore,Lloyd,30,32,30,32,27,32,32,32,-11.8,0.7,-11.1,-5.6,-5.5
2004,NFL,San Francisco 49ers,2,14,0,4th of 4,,259,452,-193,Erickson,Young,Rattay,Barlow,Johnson,30,26,32,24,31,32,30,32,-12.1,-1.6,-13.6,-5.1,-8.6
2003,NFL,San Francisco 49ers,7,9,0,3rd of 4,,384,337,47,Erickson,Peterson,Garcia,Barlow,Owens,9,5,21,13,4,13,6,32,2.9,0.1,3.1,3.0,0.1
