,,,,,,,,Points,Points,Points,,Top Players,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2020,NFL,Chicago Bears,5,6,0,2nd of 4,,216,250,-34,Nagy,,Foles,Montgomery,Robinson,29,31,8,14,27,24,26,32,-3.1,2.2,-0.8,-4.5,3.7
2019,NFL,Chicago Bears,8,8,0,3rd of 4,,280,298,-18,Nagy,Mack,Trubisky,Montgomery,Robinson,29,29,4,8,15,19,21,32,-1.1,0.2,-0.9,-5.4,4.5
2018,NFL,Chicago Bears*,12,4,0,1st of 4,Lost WC,421,283,138,Nagy,Mack,Trubisky,Howard,Robinson,9,21,1,3,3,4,5,32,8.6,-2.3,6.3,1.5,4.8
2017,NFL,Chicago Bears,5,11,0,4th of 4,,264,320,-56,Fox,Hicks,Trubisky,Howard,Wright,29,30,9,10,15,20,26,32,-3.5,2.2,-1.3,-4.6,3.3
2016,NFL,Chicago Bears,3,13,0,4th of 4,,279,399,-120,Fox,Howard,Barkley,Howard,Meredith,28,15,24,15,31,28,12,32,-7.5,0.0,-7.5,-5.2,-2.3
2015,NFL,Chicago Bears,6,10,0,4th of 4,,335,397,-62,Fox,Long,Cutler,Forte,Jeffery,23,21,20,14,19,21,16,32,-3.9,2.6,-1.3,-0.1,-1.2
2014,NFL,Chicago Bears,5,11,0,4th of 4,,319,442,-123,Trestman,Forte,Cutler,Forte,Jeffery,23,21,31,30,22,27,28,32,-7.7,1.0,-6.7,-2.0,-4.7
2013,NFL,Chicago Bears,8,8,0,2nd of 4,,445,478,-33,Trestman,Forte,Cutler,Forte,Jeffery,2,8,30,30,11,21,19,32,-2.1,-2.1,-4.1,3.0,-7.1
2012,NFL,Chicago Bears,10,6,0,3rd of 4,,375,277,98,Smith,Peppers,Cutler,Forte,Marshall,16,28,3,5,2,6,16,32,6.1,0.8,6.9,1.0,6.0
2011,NFL,Chicago Bears,8,8,0,3rd of 4,,353,341,12,Smith,Peppers,Cutler,Forte,Knox,17,24,14,17,11,16,26,32,0.8,0.9,1.7,-1.5,3.1
2010,NFL,Chicago Bears*,11,5,0,1st of 4,Lost Conf,334,286,48,Smith,Peppers,Cutler,Forte,Knox,21,30,4,9,11,10,22,32,3.0,1.1,4.1,-0.6,4.7
2009,NFL,Chicago Bears,7,9,0,3rd of 4,,327,375,-48,Smith,Cutler,Cutler,Forte,Hester,19,23,21,17,23,21,23,32,-3.0,-0.9,-3.9,-1.9,-2.0
2008,NFL,Chicago Bears,9,7,0,2nd of 4,,375,350,25,Smith,Briggs,Orton,Forte,Hester,14,26,16,21,8,17,25,32,1.6,0.5,2.1,1.1,1.0
2007,NFL,Chicago Bears,7,9,0,4th of 4,,334,348,-14,Smith,Urlacher,Griese,Benson,Berrian,18,27,16,28,17,20,30,32,-0.9,2.1,1.2,-0.2,1.4
2006,NFL,Chicago Bears*,13,3,0,1st of 4,Lost SB,427,255,172,Smith,Urlacher,Grossman,Jones,Muhammad,2,15,3,5,4,2,10,32,10.8,-2.9,7.9,4.9,3.0
2005,NFL,Chicago Bears*,11,5,0,1st of 4,Lost Div,260,202,58,Smith,Briggs,Orton,Jones,Muhammad,26,29,1,2,11,12,25,32,3.6,-2.2,1.4,-5.2,6.6
2004,NFL,Chicago Bears,5,11,0,4th of 4,,231,331,-100,Smith,Briggs,Hutchinson,Jones,Terrell,32,32,13,21,23,28,32,32,-6.3,-2.0,-8.2,-8.5,0.3
2003,NFL,Chicago Bears,7,9,0,3rd of 4,,283,346,-63,Jauron,Azumah,Stewart,Thomas,Booker,23,28,22,14,27,23,26,32,-3.9,0.4,-3.5,-4.2,0.7
2002,NFL,Chicago Bears,4,12,0,3rd of 4,,281,379,-98,Jauron,Urlacher,Miller,Thomas,Booker,27,29,25,25,23,27,29,32,-6.1,0.9,-5.3,-4.4,-0.9
2001,NFL,Chicago Bears*,13,3,0,1st of 5,Lost Div,338,203,135,Jauron,Urlacher,Miller,Thomas,Booker,11,26,1,15,4,3,21,31,8.4,-0.5,7.9,0.9,7.1
2000,NFL,Chicago Bears,5,11,0,5th of 5,,216,355,-139,Jauron,Urlacher,McNown,Allen,Robinson,28,23,20,16,23,26,23,31,-8.7,2.4,-6.3,-6.4,0.1
1999,NFL,Chicago Bears,6,10,0,5th of 5,,272,341,-69,Jauron,Robinson,Matthews,Enis,Robinson,25,8,20,29,17,24,20,31,-4.3,2.3,-2.0,-3.0,1.0
1998,NFL,Chicago Bears,4,12,0,5th of 5,,276,368,-92,Wannstedt,Carter,Kramer,Bennett,Engram,25,21,23,14,22,24,18,30,-5.8,2.0,-3.7,-3.4,-0.3
