,,,,,,,,Points,Points,Points,,Top Players,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2020,NFL,Buffalo Bills,8,3,0,1st of 4,,299,282,17,McDermott,,Allen,Singletary,Diggs,10,11,18,21,15,13,16,32,1.5,-0.6,1.0,2.0,-1.0
2019,NFL,Buffalo Bills*,10,6,0,2nd of 4,Lost WC,314,259,55,McDermott,White,Allen,Singletary,Brown,23,24,2,3,10,10,9,32,3.4,-1.3,2.2,-3.5,5.7
2018,NFL,Buffalo Bills,6,10,0,3rd of 4,,269,374,-105,McDermott,Williams,Allen,Allen,Jones,30,30,18,2,23,28,18,32,-6.6,-0.3,-6.9,-6.3,-0.6
2017,NFL,Buffalo Bills*,9,7,0,2nd of 4,Lost WC,302,359,-57,McDermott,Taylor,Taylor,McCoy,Clay,22,29,18,26,7,21,29,32,-3.6,-0.5,-4.0,-3.0,-1.0
2016,NFL,Buffalo Bills,7,9,0,3rd of 4,,399,378,21,RyanLynn,Taylor,Taylor,McCoy,Woods,10,16,16,19,7,14,20,32,1.3,-1.6,-0.3,1.8,-2.2
2015,NFL,Buffalo Bills,8,8,0,3rd of 4,,379,359,20,Ryan,Taylor,Taylor,McCoy,Watkins,12,13,15,19,8,13,14,32,1.3,-1.2,0.0,0.3,-0.2
2014,NFL,Buffalo Bills,9,7,0,2nd of 4,,343,289,54,Marrone,Williams,Orton,Jackson,Watkins,18,26,4,4,6,12,14,32,3.4,1.6,4.9,-0.4,5.3
2013,NFL,Buffalo Bills,6,10,0,4th of 4,,339,388,-49,Marrone,Williams,Manuel,Spiller,Chandler,22,19,20,10,12,22,16,32,-3.1,-0.1,-3.2,-1.3,-1.9
2012,NFL,Buffalo Bills,6,10,0,4th of 4,,344,435,-91,Gailey,Spiller,Fitzpatrick,Spiller,Johnson,21,19,26,22,27,25,22,32,-5.7,-1.0,-6.7,-0.9,-5.8
2011,NFL,Buffalo Bills,6,10,0,4th of 4,,372,434,-62,Gailey,Fitzpatrick,Fitzpatrick,Jackson,Johnson,14,14,30,26,13,22,19,32,-3.9,0.5,-3.4,1.2,-4.5
2010,NFL,Buffalo Bills,4,12,0,4th of 4,,283,425,-142,Gailey,Williams,Fitzpatrick,Jackson,Johnson,28,25,28,24,32,30,27,32,-8.9,4.3,-4.6,-1.5,-3.1
2009,NFL,Buffalo Bills,6,10,0,4th of 4,,258,326,-68,JauronFewell,Scott,Fitzpatrick,Jackson,Owens,28,30,16,19,11,23,26,32,-4.3,2.4,-1.8,-4.5,2.7
2008,NFL,Buffalo Bills,7,9,0,4th of 4,,336,342,-6,Jauron,Peters,Edwards,Lynch,Evans,23,25,14,14,27,20,24,32,-0.4,-3.0,-3.3,-2.8,-0.6
2007,NFL,Buffalo Bills,7,9,0,2nd of 4,,252,354,-102,Jauron,Peters,Edwards,Lynch,Evans,30,30,18,31,6,25,31,32,-6.4,2.3,-4.1,-5.6,1.5
2006,NFL,Buffalo Bills,7,9,0,3rd of 4,,300,311,-11,Jauron,Schobel,Losman,McGahee,Evans,23,30,10,18,23,17,30,32,-0.7,2.9,2.2,-0.2,2.4
