,,,,,,,,Points,Points,Points,,Top Players,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2020,NFL,Denver Broncos,4,7,0,3rd of 4,,209,298,-89,Fangio,,Lock,Gordon,Jeudy,31,27,24,11,32,29,20,32,-8.1,2.4,-5.7,-4.8,-0.9
2019,NFL,Denver Broncos,7,9,0,2nd of 4,,282,316,-34,Fangio,Simmons,Flacco,Lindsay,Sutton,28,28,10,12,13,21,25,32,-2.1,0.0,-2.1,-4.8,2.7
2018,NFL,Denver Broncos,6,10,0,3rd of 4,,329,349,-20,Joseph,Miller,Keenum,Lindsay,Sanders,24,19,13,22,8,18,23,32,-1.3,0.7,-0.5,-3.6,3.1
2017,NFL,Denver Broncos,5,11,0,4th of 4,,289,382,-93,Joseph,Miller,Siemian,Anderson,Thomas,27,17,22,3,31,27,8,32,-5.8,-0.9,-6.7,-3.9,-2.9
2016,NFL,Denver Broncos,9,7,0,3rd of 4,,333,297,36,Kubiak,Miller,Siemian,Booker,Thomas,22,27,4,4,13,9,14,32,2.3,1.8,4.0,-2.0,6.1
2015,NFL,Denver Broncos*,12,4,0,1st of 4,Won SB,355,296,59,Kubiak,Miller,Manning,Hillman,Thomas,19,16,4,1,19,10,3,32,3.7,2.1,5.8,0.3,5.5
2014,NFL,Denver Broncos*,12,4,0,1st of 4,Lost Div,482,354,128,Fox,Thomas,Manning,Anderson,Thomas,2,4,16,3,11,4,2,32,8.0,1.6,9.6,9.2,0.4
2013,NFL,Denver Broncos*,13,3,0,1st of 4,Lost SB,606,399,207,Fox,Manning,Manning,Moreno,Thomas,1,1,22,19,14,1,1,32,12.9,-1.6,11.4,14.1,-2.7
2012,NFL,Denver Broncos*,13,3,0,1st of 4,Lost Div,481,289,192,Fox,Clady,Manning,McGahee,Thomas,2,4,4,2,17,2,1,32,12.0,-1.9,10.1,6.3,3.8
2011,NFL,Denver Broncos*,8,8,0,1st of 4,Lost Div,309,390,-81,Fox,Miller,Tebow,McGahee,Decker,25,23,24,20,26,25,27,32,-5.1,-0.2,-5.3,-3.6,-1.7
2010,NFL,Denver Broncos,4,12,0,4th of 4,,344,471,-127,McDanielsStudesville,Lloyd,Orton,Moreno,Lloyd,19,13,32,32,27,29,25,32,-7.9,-1.0,-8.9,-1.1,-7.8
2009,NFL,Denver Broncos,8,8,0,2nd of 4,,326,324,2,McDaniels,Clady,Orton,Moreno,Marshall,20,15,12,7,7,18,13,32,0.1,0.2,0.3,-1.0,1.3
2008,NFL,Denver Broncos,8,8,0,2nd of 4,,370,448,-78,Shanahan,Clady,Cutler,Hillis,Marshall,16,2,30,29,31,25,14,32,-4.9,-0.9,-5.8,0.7,-6.5
