,,,,,,,,Points,Points,Points,,Top Players,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2020,NFL,Cleveland Browns,8,3,0,2nd of 4,,265,286,-21,Stefanski,,Mayfield,Chubb,Landry,18,18,21,17,6,19,14,32,-1.9,-2.0,-3.9,-1.5,-2.4
2019,NFL,Cleveland Browns,6,10,0,3rd of 4,,335,393,-58,Kitchens,Chubb,Mayfield,Chubb,Landry,22,22,20,22,26,22,19,32,-3.6,1.7,-1.9,-0.4,-1.5
2018,NFL,Cleveland Browns,7,8,1,3rd of 4,,359,392,-33,WilliamsJackson,Garrett,Mayfield,Chubb,Landry,20,13,21,30,8,20,26,32,-2.1,1.7,-0.3,-1.0,0.6
2017,NFL,Cleveland Browns,0,16,0,4th of 4,,234,410,-176,Jackson,Schobert,Kizer,Crowell,Johnson,32,24,31,14,32,32,20,32,-11.0,0.0,-11.0,-6.8,-4.1
2016,NFL,Cleveland Browns,1,15,0,4th of 4,,264,452,-188,Jackson,Thomas,Kessler,Crowell,Pryor,31,30,30,31,29,32,31,32,-11.8,1.7,-10.1,-5.2,-4.9
2015,NFL,Cleveland Browns,3,13,0,4th of 4,,278,432,-154,Pettine,Thomas,McCown,Crowell,Barnidge,30,25,29,27,28,32,28,32,-9.6,3.5,-6.1,-3.2,-2.9
2014,NFL,Cleveland Browns,7,9,0,4th of 4,,299,337,-38,Pettine,Thomas,Hoyer,West,Hawkins,27,23,9,23,9,25,26,32,-2.4,-1.5,-3.9,-4.8,0.9
2013,NFL,Cleveland Browns,4,12,0,4th of 4,,308,406,-98,Chudzinski,Haden,Campbell,McGahee,Gordon,27,18,23,9,25,27,15,32,-6.1,-1.6,-7.7,-4.8,-2.9
2012,NFL,Cleveland Browns,5,11,0,4th of 4,,302,368,-66,Shurmur,Thomas,Weeden,Richardson,Gordon,24,25,19,23,12,24,29,32,-4.1,-1.2,-5.3,-4.6,-0.7
2011,NFL,Cleveland Browns,4,12,0,4th of 4,,218,307,-89,Shurmur,Thomas,McCoy,Hillis,Little,30,29,5,10,13,27,28,32,-5.6,0.2,-5.4,-7.2,1.8
2010,NFL,Cleveland Browns,5,11,0,3rd of 4,,271,332,-61,Mangini,Thomas,McCoy,Hillis,Watson,31,29,13,22,15,23,28,32,-3.8,2.3,-1.5,-3.4,2.0
2009,NFL,Cleveland Browns,5,11,0,4th of 4,,245,375,-130,Mangini,Thomas,Quinn,Harrison,Massaquoi,29,32,21,31,29,27,32,32,-8.1,-0.3,-8.4,-6.0,-2.4
