,,,,,,,,Points,Points,Points,,Top Players,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2020,NFL,Philadelphia Eagles,3,7,1,3rd of 4,,237,277,-40,Pederson,,Wentz,Sanders,Fulgham,25,28,16,9,30,26,21,32,-3.6,-0.6,-4.3,-2.9,-1.3
2019,NFL,Philadelphia Eagles*,9,7,0,1st of 4,Lost WC,385,354,31,Pederson,Kelce,Wentz,Sanders,Ertz,12,14,15,10,22,11,11,32,1.9,-1.7,0.3,0.7,-0.4
2018,NFL,Philadelphia Eagles*,9,7,0,2nd of 4,Lost Div,367,348,19,Pederson,Cox,Wentz,Adams,Ertz,18,14,12,23,25,12,20,32,1.2,0.5,1.7,0.0,1.8
2017,NFL,Philadelphia Eagles*,13,3,0,1st of 4,Won SB,457,295,162,Pederson,Johnson,Wentz,Blount,Ertz,3,7,4,4,4,1,4,32,10.1,-0.7,9.4,7.0,2.5
2016,NFL,Philadelphia Eagles,7,9,0,4th of 4,,367,331,36,Pederson,Graham,Wentz,Mathews,Ertz,16,22,12,13,7,9,21,32,2.3,1.6,3.8,1.3,2.5
2015,NFL,Philadelphia Eagles,7,9,0,2nd of 4,,377,430,-53,KellyShurmur,Cox,Bradford,Murray,Matthews,13,12,28,30,22,20,26,32,-3.3,-1.3,-4.6,-0.6,-4.0
2014,NFL,Philadelphia Eagles,10,6,0,2nd of 4,,474,400,74,Kelly,Peters,Sanchez,McCoy,Maclin,3,5,22,28,26,8,11,32,4.6,-0.7,3.9,6.6,-2.7
2013,NFL,Philadelphia Eagles*,10,6,0,1st of 4,Lost WC,442,382,60,Kelly,Peters,Foles,McCoy,Jackson,4,2,17,29,4,9,10,32,3.8,-1.9,1.9,2.3,-0.5
2012,NFL,Philadelphia Eagles,4,12,0,4th of 4,,280,444,-164,Reid,Mathis,Vick,McCoy,Maclin,29,15,29,15,31,30,12,32,-10.3,1.4,-8.9,-5.3,-3.6
2011,NFL,Philadelphia Eagles,8,8,0,2nd of 4,,396,328,68,Reid,Peters,Vick,McCoy,Jackson,8,4,10,8,30,9,4,32,4.3,0.5,4.7,3.1,1.7
2010,NFL,Philadelphia Eagles*,10,6,0,1st of 4,Lost WC,439,377,62,Reid,Vick,Vick,McCoy,Jackson,3,2,21,12,5,9,5,32,3.9,0.3,4.2,5.4,-1.2
2009,NFL,Philadelphia Eagles*,11,5,0,2nd of 4,Lost WC,429,337,92,Reid,Jackson,McNabb,McCoy,Jackson,5,11,19,12,2,10,11,32,5.8,0.2,6.0,5.8,0.2
2008,NFL,Philadelphia Eagles*,9,6,1,2nd of 4,Lost Conf,416,289,127,Reid,Mikell,McNabb,Westbrook,Jackson,6,9,4,3,14,4,1,32,7.9,-0.1,7.8,4.7,3.2
2007,NFL,Philadelphia Eagles,8,8,0,4th of 4,,336,300,36,Reid,Westbrook,McNabb,Westbrook,Curtis,17,6,9,10,25,11,7,32,2.3,3.0,5.3,0.1,5.1
2006,NFL,Philadelphia Eagles*,10,6,0,1st of 4,Lost Div,398,328,70,Reid,Andrews,McNabb,Westbrook,Brown,6,2,15,15,9,8,5,32,4.4,-1.0,3.4,3.2,0.2
