,,,,,,,,Points,Points,Points,,Top Players,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2020,NFL,New York Giants,4,7,0,1st of 4,,214,253,-39,Judge,,Jones,Jones,Slayton,30,29,9,10,13,25,24,32,-3.5,-0.9,-4.4,-4.7,0.3
2019,NFL,New York Giants,4,12,0,3rd of 4,,341,451,-110,Shurmur,Barkley,Jones,Barkley,Slayton,18,23,30,25,31,28,26,32,-6.9,-1.0,-7.9,-1.8,-6.1
2018,NFL,New York Giants,5,11,0,4th of 4,,369,412,-43,Shurmur,Barkley,Manning,Barkley,Beckham,16,17,23,24,13,22,24,32,-2.7,0.5,-2.2,0.8,-2.9
2017,NFL,New York Giants,3,13,0,4th of 4,,246,388,-142,McAdooSpagnuolo,Harrison,Manning,Darkwa,Shepard,31,21,27,31,20,31,31,32,-8.9,1.3,-7.6,-6.4,-1.2
2016,NFL,New York Giants*,11,5,0,2nd of 4,Lost WC,310,284,26,McAdoo,Harrison,Manning,Jennings,Beckham,26,25,2,10,21,12,22,32,1.6,0.5,2.1,-3.2,5.4
2015,NFL,New York Giants,6,10,0,3rd of 4,,420,442,-22,Coughlin,Manning,Manning,Jennings,Beckham,6,8,30,32,5,16,29,32,-1.4,-2.2,-3.6,2.5,-6.1
2014,NFL,New York Giants,6,10,0,3rd of 4,,380,400,-20,Coughlin,Manning,Manning,Williams,Beckham,13,10,22,29,19,19,20,32,-1.3,-0.4,-1.7,0.8,-2.5
2013,NFL,New York Giants,7,9,0,3rd of 4,,294,383,-89,Coughlin,Rolle,Manning,Brown,Cruz,28,28,18,8,31,23,22,32,-5.6,0.2,-5.4,-6.2,0.8
2012,NFL,New York Giants,9,7,0,2nd of 4,,429,344,85,Coughlin,Manning,Manning,Bradshaw,Cruz,6,14,12,31,4,8,24,32,5.3,0.9,6.2,4.0,2.2
2011,NFL,New York Giants*,9,7,0,1st of 4,Won SB,394,400,-6,Coughlin,Manning,Manning,Bradshaw,Cruz,9,8,25,27,7,19,12,32,-0.4,2.0,1.6,3.1,-1.5
2010,NFL,New York Giants,10,6,0,2nd of 4,,394,347,47,Coughlin,Tuck,Manning,Bradshaw,Nicks,7,5,17,7,18,11,3,32,2.9,-0.8,2.1,1.7,0.4
