,,,,,,,,Points,Points,Points,,Top Players,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2020,NFL,New York Jets,0,11,0,4th of 4,,152,322,-170,Gase,,Darnold,Gore,Crowder,32,32,29,28,17,32,32,32,-15.5,1.4,-14.0,-10.0,-4.0
2019,NFL,New York Jets,7,9,0,3rd of 4,,276,359,-83,Gase,Adams,Darnold,Bell,Crowder,31,32,16,7,23,25,27,32,-5.2,-1.1,-6.3,-5.7,-0.6
2018,NFL,New York Jets,4,12,0,4th of 4,,333,441,-108,Bowles,Adams,Darnold,Crowell,Anderson,23,29,29,25,27,29,29,32,-6.8,-1.1,-7.8,-2.0,-5.9
2017,NFL,New York Jets,5,11,0,4th of 4,,298,382,-84,Bowles,McCown,McCown,Powell,Anderson,24,28,22,25,23,26,28,32,-5.3,0.3,-4.9,-2.9,-2.1
2016,NFL,New York Jets,5,11,0,4th of 4,,275,409,-134,Bowles,Williams,Fitzpatrick,Forte,Enunwa,30,26,28,11,31,29,23,32,-8.4,-0.1,-8.5,-5.5,-3.0
2015,NFL,New York Jets,10,6,0,2nd of 4,,387,314,73,Bowles,Wilkerson,Fitzpatrick,Ivory,Marshall,11,10,9,4,8,8,4,32,4.6,-3.0,1.5,-0.5,2.0
2014,NFL,New York Jets,4,12,0,4th of 4,,283,401,-118,Ryan,Richardson,Smith,Ivory,Decker,28,22,24,6,29,26,18,32,-7.4,2.3,-5.0,-4.0,-1.0
2013,NFL,New York Jets,8,8,0,2nd of 4,,290,387,-97,Ryan,Wilkerson,Smith,Ivory,Kerley,29,25,19,11,30,26,21,32,-6.1,0.0,-6.1,-4.7,-1.4
2012,NFL,New York Jets,6,10,0,3rd of 4,,281,375,-94,Ryan,Wilkerson,Sanchez,Greene,Kerley,28,30,20,8,29,26,23,32,-5.9,0.0,-5.9,-5.1,-0.9
2011,NFL,New York Jets,8,8,0,2nd of 4,,377,363,14,Ryan,Revis,Sanchez,Greene,Keller,13,25,20,5,19,15,15,32,0.9,0.0,0.9,1.2,-0.3
2010,NFL,New York Jets*,11,5,0,2nd of 4,Lost Conf,367,304,63,Ryan,Pouha,Sanchez,Tomlinson,Edwards,13,11,6,3,5,8,6,32,3.9,2.5,6.5,2.2,4.2
2009,NFL,New York Jets*,9,7,0,2nd of 4,Lost Conf,348,236,112,Ryan,Harris,Sanchez,Jones,Cotchery,17,20,1,1,16,7,5,32,7.0,1.6,8.6,1.1,7.5
2008,NFL,New York Jets,9,7,0,3rd of 4,,405,356,49,Mangini,Jones,Favre,Jones,Cotchery,9,16,18,16,19,12,20,32,3.1,-2.8,0.2,2.2,-1.9
2007,NFL,New York Jets,4,12,0,3rd of 4,,268,355,-87,Mangini,Cotchery,Pennington,Jones,Cotchery,25,26,19,18,20,22,22,32,-5.4,1.7,-3.7,-4.0,0.3
2006,NFL,New York Jets*,10,6,0,2nd of 4,Lost WC,316,295,21,Mangini,Pennington,Pennington,Washington,Coles,18,25,6,20,17,12,22,32,1.3,0.7,2.0,0.4,1.7
2005,NFL,New York Jets,4,12,0,4th of 4,,240,355,-115,Edwards,Law,Bollinger,Martin,Coles,29,31,23,12,20,28,29,32,-7.2,0.8,-6.4,-5.2,-1.2
2004,NFL,New York Jets*,10,6,0,2nd of 4,Lost Div,333,261,72,Edwards,Martin,Pennington,Martin,Moss,17,12,4,7,2,8,6,32,4.5,2.1,6.6,0.5,6.0
2003,NFL,New York Jets,6,10,0,4th of 4,,283,299,-16,Edwards,Martin,Pennington,Martin,Moss,23,19,8,21,14,18,22,32,-1.0,0.4,-0.6,-1.9,1.3
2002,NFL,New York Jets*,9,7,0,1st of 4,Lost Div,359,336,23,Edwards,Mawae,Pennington,Martin,Coles,15,22,14,24,11,16,23,32,1.4,1.7,3.2,0.9,2.3
2001,NFL,New York Jets*,10,6,0,3rd of 5,Lost WC,308,295,13,Edwards,Abraham,Testaverde,Martin,Coles,17,24,12,19,1,12,22,31,0.8,0.0,0.8,-2.0,2.8
2000,NFL,New York Jets,9,7,0,3rd of 5,,321,321,0,Groh,Lewis,Testaverde,Martin,Chrebet,17,12,13,10,20,18,11,31,0.0,3.5,3.5,1.4,2.2
1999,NFL,New York Jets,8,8,0,4th of 5,,308,309,-1,Parcells,Mawae,Lucas,Martin,Johnson,19,25,9,21,3,17,27,31,-0.1,3.1,3.1,0.2,2.9
1998,NFL,New York Jets*,12,4,0,1st of 5,Lost Conf,416,266,150,Parcells,Lewis,Testaverde,Martin,Johnson,5,4,2,7,10,5,5,30,9.4,1.8,11.2,5.4,5.8
