,,,,,,,,Points,Points,Points,,Top Players,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2020,NFL,Green Bay Packers,8,3,0,1st of 4,,349,283,66,LaFleur,,Rodgers,Jones,Adams,1,4,19,13,11,6,7,32,6.0,0.3,6.3,7.0,-0.7
2019,NFL,Green Bay Packers*,13,3,0,1st of 4,Lost Conf,376,313,63,LaFleur,Bakhtiari,Rodgers,Jones,Adams,15,18,9,18,3,9,16,32,3.9,-0.7,3.2,0.6,2.6
2018,NFL,Green Bay Packers,6,9,1,3rd of 4,,376,400,-24,McCarthyPhilbin,Bakhtiari,Rodgers,Jones,Adams,14,12,22,18,19,19,14,32,-1.5,-1.2,-2.7,0.0,-2.7
2017,NFL,Green Bay Packers,7,9,0,3rd of 4,,320,384,-64,McCarthy,Bakhtiari,Hundley,Williams,Adams,21,26,26,22,20,23,27,32,-4.0,2.1,-1.9,-0.3,-1.6
2016,NFL,Green Bay Packers*,10,6,0,1st of 4,Lost Conf,432,388,44,McCarthy,Rodgers,Rodgers,Montgomery,Nelson,4,8,21,22,6,8,16,32,2.8,0.1,2.8,4.9,-2.0
2015,NFL,Green Bay Packers*,10,6,0,2nd of 4,Lost Div,368,323,45,McCarthy,Rodgers,Rodgers,Lacy,Jones,15,23,12,15,10,11,19,32,2.8,2.5,5.3,2.0,3.3
2014,NFL,Green Bay Packers*,12,4,0,1st of 4,Lost Conf,486,348,138,McCarthy,Rodgers,Rodgers,Lacy,Nelson,1,6,13,15,1,3,6,32,8.6,-0.3,8.3,7.9,0.4
2013,NFL,Green Bay Packers*,8,7,1,1st of 4,Lost WC,417,428,-11,McCarthy,Sitton,Rodgers,Lacy,Nelson,8,3,24,25,19,16,8,32,-0.7,-2.4,-3.1,0.5,-3.6
2012,NFL,Green Bay Packers*,11,5,0,1st of 4,Lost Div,433,336,97,McCarthy,Rodgers,Rodgers,Green,Cobb,5,13,11,11,10,7,9,32,6.1,1.2,7.3,4.9,2.4
2011,NFL,Green Bay Packers*,15,1,0,1st of 4,Lost Div,560,359,201,McCarthy,Rodgers,Rodgers,Starks,Nelson,1,3,19,32,2,2,17,32,12.6,-1.2,11.4,11.5,-0.1
2010,NFL,Green Bay Packers*,10,6,0,2nd of 4,Won SB,388,240,148,McCarthy,Matthews,Rodgers,Jackson,Jennings,10,9,2,5,4,2,7,32,9.3,1.7,10.9,3.1,7.9
2009,NFL,Green Bay Packers*,11,5,0,2nd of 4,Lost WC,461,297,164,McCarthy,Rodgers,Rodgers,Grant,Jennings,3,6,7,2,1,2,1,32,10.3,-2.9,7.4,6.3,1.1
2008,NFL,Green Bay Packers,6,10,0,3rd of 4,,419,380,39,McCarthy,Rodgers,Rodgers,Grant,Jennings,5,8,22,20,6,14,17,32,2.4,0.5,2.9,4.1,-1.2
2007,NFL,Green Bay Packers*,13,3,0,1st of 4,Lost Conf,435,291,144,McCarthy,Favre,Favre,Grant,Driver,4,2,6,11,10,3,5,32,9.0,0.0,9.0,5.7,3.3
