,,,,,,,,Points,Points,Points,,Top Players,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2020,NFL,New Orleans Saints,9,2,0,1st of 4,,326,225,101,Payton,,Brees,Kamara,Kamara,4,13,5,1,4,3,2,32,9.2,0.9,10.0,4.8,5.3
2019,NFL,New Orleans Saints*,13,3,0,1st of 4,Lost WC,458,341,117,Payton,Thomas,Brees,Kamara,Thomas,3,9,13,11,2,5,7,32,7.3,0.0,7.4,5.0,2.3
2018,NFL,New Orleans Saints*,13,3,0,1st of 4,Lost Conf,504,353,151,Payton,Thomas,Brees,Kamara,Thomas,3,8,14,14,7,1,10,32,9.4,0.6,10.1,7.9,2.2
2017,NFL,New Orleans Saints*,11,5,0,1st of 4,Lost Div,448,326,122,Payton,Jordan,Brees,Ingram,Thomas,4,2,10,17,9,6,5,32,7.6,1.5,9.2,7.0,2.2
2016,NFL,New Orleans Saints,7,9,0,3rd of 4,,469,454,15,Payton,Brees,Brees,Ingram,Cooks,2,1,31,27,23,17,3,32,0.9,0.6,1.5,6.8,-5.3
2015,NFL,New Orleans Saints,7,9,0,3rd of 4,,408,476,-68,Payton,Brees,Brees,Ingram,Cooks,8,2,32,31,15,22,18,32,-4.3,-2.3,-6.6,1.1,-7.6
2014,NFL,New Orleans Saints,7,9,0,2nd of 4,,401,424,-23,Payton,Brees,Brees,Ingram,Stills,9,1,28,31,31,20,9,32,-1.4,-1.5,-2.9,1.9,-4.8
2013,NFL,New Orleans Saints*,11,5,0,2nd of 4,Lost Div,414,304,110,Payton,Brees,Brees,Thomas,Graham,10,4,4,4,14,7,2,32,6.9,1.9,8.8,3.8,5.0
2012,NFL,New Orleans Saints,7,9,0,3rd of 4,,461,454,7,VittKromer,Brees,Brees,Ingram,Colston,3,2,31,32,14,15,26,32,0.4,1.0,1.4,6.5,-5.1
2011,NFL,New Orleans Saints*,13,3,0,1st of 4,Lost Div,547,339,208,Payton,Brees,Brees,Sproles,Graham,2,1,13,24,19,1,2,32,13.0,-1.6,11.4,10.6,0.8
2010,NFL,New Orleans Saints*,11,5,0,2nd of 4,Lost WC,384,307,77,Payton,Brees,Brees,Ivory,Colston,11,6,7,4,23,7,4,32,4.8,-2.5,2.3,1.5,0.8
2009,NFL,New Orleans Saints*,13,3,0,1st of 4,Won SB,510,341,169,Payton,Evans,Brees,Thomas,Colston,1,1,20,25,3,1,9,32,10.6,0.2,10.8,11.2,-0.5
2008,NFL,New Orleans Saints,8,8,0,4th of 4,,463,393,70,Payton,Brees,Brees,Thomas,Moore,1,1,26,23,22,10,3,32,4.4,-0.3,4.0,6.8,-2.8
2007,NFL,New Orleans Saints,7,9,0,3rd of 4,,379,388,-9,Payton,Brees,Brees,Bush,Colston,12,4,25,26,22,19,14,32,-0.6,-2.0,-2.5,1.9,-4.5
2006,NFL,New Orleans Saints*,10,6,0,1st of 4,Lost Conf,413,322,91,Payton,Brown,Brees,McAllister,Colston,5,1,13,11,22,6,1,32,5.7,-1.6,4.0,4.9,-0.9
2005,NFL,New Orleans Saints,3,13,0,4th of 4,,235,398,-163,Haslett,Brooks,Brooks,Smith,Stallworth,31,20,28,14,31,30,19,32,-10.2,-0.9,-11.1,-6.2,-4.9
2004,NFL,New Orleans Saints,8,8,0,2nd of 4,,348,405,-57,Haslett,Brooks,Brooks,McAllister,Horn,14,15,27,32,10,24,31,32,-3.6,-2.0,-5.6,-1.2,-4.3
2003,NFL,New Orleans Saints,8,8,0,2nd of 4,,340,326,14,Haslett,McAllister,Brooks,McAllister,Horn,14,11,14,18,18,17,15,32,0.9,-1.1,-0.3,0.1,-0.4
2002,NFL,New Orleans Saints,9,7,0,3rd of 4,,432,388,44,Haslett,Brooks,Brooks,McAllister,Horn,3,19,26,27,9,10,25,32,2.8,-0.3,2.4,5.8,-3.3
2001,NFL,New Orleans Saints,7,9,0,3rd of 5,,333,409,-76,Haslett,Brooks,Brooks,Williams,Horn,13,10,27,16,21,24,13,31,-4.8,-0.1,-4.8,-0.1,-4.7
2000,NFL,New Orleans Saints*,10,6,0,1st of 5,Lost Div,354,305,49,Haslett,Glover,Blake,Williams,Horn,10,10,10,8,8,12,10,31,3.1,-2.2,0.9,-1.2,2.1
1999,NFL,New Orleans Saints,3,13,0,5th of 5,,260,434,-174,Ditka,Roaf,Tolliver,Williams,Kennison,29,19,28,20,19,29,24,31,-10.9,-1.3,-12.1,-5.3,-6.9
1998,NFL,New Orleans Saints,6,10,0,3rd of 5,,305,359,-54,Ditka,Glover,Tolliver,Smith,Dawkins,21,28,21,26,16,19,30,30,-3.4,3.5,0.1,-1.5,1.6
1997,NFL,New Orleans Saints,6,10,0,4th of 5,,237,327,-90,Ditka,Tubbs,Shuler,Zellars,Hill,30,30,16,4,30,25,27,30,-5.6,-1.8,-7.4,-6.8,-0.6
1996,NFL,New Orleans Saints,3,13,0,5th of 5,,229,339,-110,MoraVenturi,Martin,Everett,Bates,Haynes,29,29,20,13,28,28,27,30,-6.9,-1.2,-8.1,-7.1,-1.0
1995,NFL,New Orleans Saints,7,9,0,5th of 5,,319,348,-29,Mora,Roaf,Everett,Bates,Early,20,19,18,22,7,20,20,30,-1.8,-0.3,-2.2,-1.7,-0.4
