Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,Pts S,Pts A,Pts Dif,Coaches,AV,Passer,Rusher,Receiver,Off Pts Rk,Off Yds Rk,Def Pts Rk,Def Yds Rk,T/G,Pts Dif Rk,Yds Dif Rk,out of,MoV,SoS,SRS,OSRS,DSRS
2020,NFL,Seattle Seahawks,5,1,0,1st of 4,,203,172,31,Carroll,,Wilson,Carson,Lockett,1,1,23,32,4,12,29,32,5.2,-1.9,3.3,7.6,-4.4
2019,NFL,Seattle Seahawks*,11,5,0,2nd of 4,Lost Div,405,398,7,Carroll,Wilson,Wilson,Carson,Lockett,9,8,22,26,3,14,17,32,0.4,2.3,2.7,2.9,-0.2
2018,NFL,Seattle Seahawks*,10,6,0,2nd of 4,Lost WC,428,347,81,Carroll,Wagner,Wilson,Carson,Lockett,6,18,11,16,1,10,19,32,5.1,-0.6,4.5,3.0,1.5
2017,NFL,Seattle Seahawks,9,7,0,2nd of 4,,366,332,34,Carroll,Wagner,Wilson,Wilson,Baldwin,11,15,13,11,8,13,13,32,2.1,-0.2,1.9,0.7,1.2
2016,NFL,Seattle Seahawks*,10,5,1,1st of 4,Lost Div,354,292,62,Carroll,Wagner,Wilson,Michael,Baldwin,18,12,3,5,16,6,5,32,3.9,-1.7,2.1,-2.4,4.5
2015,NFL,Seattle Seahawks*,10,6,0,2nd of 4,Lost Div,423,277,146,Carroll,Wilson,Wilson,Rawls,Baldwin,4,4,1,2,5,4,1,32,9.1,2.2,11.3,5.4,6.0
2014,NFL,Seattle Seahawks*,12,4,0,1st of 4,Lost SB,394,254,140,Carroll,Wilson,Wilson,Lynch,Baldwin,10,9,1,1,4,2,1,32,8.8,0.8,9.5,2.4,7.1
2013,NFL,Seattle Seahawks*,13,3,0,1st of 4,Won SB,417,231,186,Carroll,Sherman,Wilson,Lynch,Tate,8,17,1,1,1,2,3,32,11.6,1.4,13.0,4.1,8.9
2012,NFL,Seattle Seahawks*,11,5,0,2nd of 4,Lost Div,412,245,167,Carroll,Sherman,Wilson,Lynch,Rice,9,17,1,4,5,3,7,32,10.4,1.8,12.2,4.5,7.7
2011,NFL,Seattle Seahawks,7,9,0,3rd of 4,,321,315,6,Carroll,Browner,Jackson,Lynch,Baldwin,23,28,7,9,5,18,23,32,0.4,0.4,0.8,-0.5,1.3
2010,NFL,Seattle Seahawks*,7,9,0,1st of 4,Lost Div,310,407,-97,Carroll,Hasselbeck,Hasselbeck,Lynch,Williams,23,28,25,27,27,28,30,32,-6.1,-3.4,-9.4,-3.9,-5.5
2009,NFL,Seattle Seahawks,5,11,0,3rd of 4,,280,390,-110,Mora,Willis,Hasselbeck,Jones,Houshmandzadeh,25,21,25,24,26,26,25,32,-6.9,-2.4,-9.3,-5.0,-4.4
2008,NFL,Seattle Seahawks,4,12,0,3rd of 4,,294,392,-98,Holmgren,Jones,Wallace,Jones,Carlson,25,28,25,30,25,26,30,32,-6.1,-1.5,-7.6,-4.9,-2.8
2007,NFL,Seattle Seahawks*,10,6,0,1st of 4,Lost Div,393,291,102,Holmgren,Kerney,Hasselbeck,Alexander,Engram,9,9,6,15,5,8,10,32,6.4,-4.6,1.8,0.8,0.9
2006,NFL,Seattle Seahawks*,9,7,0,1st of 4,Lost Div,335,341,-6,Holmgren,Jones,Hasselbeck,Alexander,Jackson,14,19,19,19,27,15,21,32,-0.4,-3.2,-3.6,-1.7,-1.9
2005,NFL,Seattle Seahawks*,13,3,0,1st of 4,Lost SB,452,271,181,Holmgren,Alexander,Hasselbeck,Alexander,Engram,1,2,7,16,7,2,3,32,11.3,-2.2,9.1,5.8,3.4
2004,NFL,Seattle Seahawks*,9,7,0,1st of 4,Lost WC,371,373,-2,Holmgren,Jones,Hasselbeck,Alexander,Jackson,12,8,22,26,9,16,15,32,-0.1,-2.8,-2.9,0.4,-3.3
2003,NFL,Seattle Seahawks*,10,6,0,2nd of 4,Lost WC,404,327,77,Holmgren,Hasselbeck,Hasselbeck,Alexander,Jackson,7,6,15,19,18,10,13,32,4.8,-0.7,4.1,3.6,0.5
2002,NFL,Seattle Seahawks,7,9,0,3rd of 4,,355,369,-14,Holmgren,Alexander,Hasselbeck,Alexander,Robinson,16,7,23,28,14,19,17,32,-0.9,-0.4,-1.3,0.0,-1.2
2001,NFL,Seattle Seahawks,9,7,0,2nd of 5,,301,324,-23,Holmgren,Jones,Hasselbeck,Alexander,Jackson,19,25,18,20,11,16,24,31,-1.4,-0.4,-1.9,-1.4,-0.4
2000,NFL,Seattle Seahawks,6,10,0,4th of 5,,320,405,-85,Holmgren,Watters,Kitna,Watters,Dawkins,19,19,25,31,23,25,30,31,-5.3,1.6,-3.7,-1.4,-2.3
1999,NFL,Seattle Seahawks*,9,7,0,1st of 5,Lost WC,338,298,40,Holmgren,Kennedy,Kitna,Watters,Dawkins,12,23,8,23,12,12,26,31,2.5,2.0,4.5,1.9,2.6
1998,NFL,Seattle Seahawks,8,8,0,3rd of 5,,372,310,62,Erickson,Brown,Moon,Watters,Galloway,10,23,10,27,7,9,29,30,3.9,-2.4,1.5,0.9,0.6
1997,NFL,Seattle Seahawks,8,8,0,3rd of 5,,365,362,3,Erickson,Williams,Moon,Warren,Galloway,9,3,22,8,19,15,3,30,0.2,0.0,0.1,1.8,-1.7
1996,NFL,Seattle Seahawks,7,9,0,5th of 5,,317,376,-59,Erickson,Kennedy,Friesz,Warren,Galloway,16,19,24,24,11,21,22,30,-3.7,2.0,-1.7,1.0,-2.6
1995,NFL,Seattle Seahawks,8,8,0,3rd of 5,,363,366,-3,Erickson,Warren,Mirer,Warren,Galloway,10,13,23,25,25,17,21,30,-0.2,-0.4,-0.6,1.6,-2.2
1994,NFL,Seattle Seahawks,6,10,0,5th of 5,,287,323,-36,Flores,Kennedy,Mirer,Warren,Blades,20,24,16,23,11,18,26,28,-2.3,-1.2,-3.4,-2.8,-0.6
1993,NFL,Seattle Seahawks,6,10,0,5th of 5,,280,314,-34,Flores,Kennedy,Mirer,Warren,Blades,19,23,18,23,8,21,23,28,-2.1,0.9,-1.2,-0.8,-0.5
1992,NFL,Seattle Seahawks,2,14,0,5th of 5,,140,312,-172,Flores,Kennedy,Gelbaugh,Warren,Williams,28,28,17,10,24,28,26,28,-10.8,0.8,-10.0,-9.8,-0.2
1991,NFL,Seattle Seahawks,7,9,0,4th of 5,,276,261,15,Knox,Kennedy,Krieg,Williams,Blades,20,21,8,8,22,14,17,28,0.9,0.2,1.2,-1.5,2.7
